"Name","Opinions","Price","Weight","Dimensions","Batteries Required","Manufacturer"
"
                
                    
                    
                

                
                    
                    
                        BISSELL Cleanview Swivel Pet Upright Bagless Vacuum Cleaner, Green, 2252
                    
                

                
                    
                    
                
            ","6,009 ratings","$99.66","17.86 pounds","13 x 14 x 44.5 inches","No","BISSELL"
"
                
                    
                    
                

                
                    
                    
                        BISSELL Cleanview Swivel Rewind Pet Upright Bagless Vacuum Cleaner, Teal
                    
                

                
                    
                    
                
            ","2,435 ratings","$139.99","19.21 pounds","13 x 14 x 46 inches","No","Bissell"
"
                
                    
                    
                

                
                    
                    
                        BISSELL Cleanview Bagless Vacuum Cleaner, 2486, Orange
                    
                

                
                    
                    
                
            ","1,935 ratings","$79.99","17.16 pounds","13 x 14 x 44.5 inches","No","BISSELL"
"
                
                    
                    
                

                
                    
                    
                        Shark Rotator Professional Upright Corded Bagless Vacuum for Carpet and Hard Floor with Lift-Away Hand Vacuum and Anti-Allergy Seal (NV501), White with Red Chrome
                    
                

                
                    
                    
                
            ","6,338 ratings",NA,"15.5 pounds","45.7 x 12.1 x 12.2 inches","No","SharkNinja"
"
                
                    
                    
                

                
                    
                    
                        Shark Navigator Lift-Away Deluxe NV360 Upright Vacuum, Blue
                    
                

                
                    
                    
                
            ","4,468 ratings",NA,"12.5 pounds","14.96 x 11.4 x 45.5 inches","No","SharkNinja"
"
                
                    
                    
                

                
                    
                    
                        MOOSOO Cordless Vacuum 4 in 1 Powerful Suction Stick Handheld Vacuum Cleaner for Home Hard Floor Carpet Car Pet - XL-618A, Lightweight
                    
                

                
                    
                    
                
            ","5,183 ratings","$109.99","3.3 pounds","44.1 x 9 x 10.2 inches","Yes","MOOSOO M"
"
                
                    
                    
                

                
                    
                    
                        Shark Navigator Zero-M Self-Cleaning Brushroll Pet Pro (ZU62) Upright Vacuum, Pewter Grey Metallic
                    
                

                
                    
                    
                
            ","1,011 ratings","$229.94","19.46 pounds","9.84 x 11.97 x 45.28 inches","No","SharkNinja"
"
                
                    
                    
                

                
                    
                    
                        Miele Grey Classic C1 Pure Suction Canister Vacuum Cleaner, Graphite
                    
                

                
                    
                    
                
            ","491 ratings","$299.00","10 pounds","18.2 x 11 x 8.7 inches","No","Miele"
"
                
                    
                    
                

                
                    
                    
                        Bissell Zing Canister, 2156A Vacuum, Green Bagless
                    
                

                
                    
                    
                
            ","3,753 ratings","$59.99","10.23 pounds","14 x 11 x 12 inches","No","BISSELL Homecare, Inc."
"
                
                    
                    
                

                
                    
                    
                        Shark APEX DuoClean with Zero-M No Hair Wrap (ZS362) Stick Vacuum, Forest Mist Blue
                    
                

                
                    
                    
                
            ","854 ratings","$249.99","8 ounces","10.2 x 9.8 x 46.4 inches","No","SharkNinja"
"
                
                    
                    
                

                
                    
                    
                        Hoover Pet Max Complete Bagless Upright Vacuum Cleaner, UH74110, Blue Pearl
                    
                

                
                    
                    
                
            ","323 ratings","$179.99","17.1 pounds","13 x 14 x 44.5 inches","No","Hoover"
"
                
                    
                    
                

                
                    
                    
                        Dyson V11 Torque Drive Cordless Vacuum Cleaner, Blue
                    
                

                
                    
                    
                
            ","1,981 ratings","$671.97","6.68 pounds","50.63 x 9.84 x 10.28 inches","Yes","Dyson"
"
                
                    
                    
                

                
                    
                    
                        APOSEN Cordless Vacuum Cleaner 18KPa Powerful Suction 250W Brushless Motor 4 in 1 Stick Handheld Vacuum for Home Hard Floor Carpet Car Pet H250 Blue
                    
                

                
                    
                    
                
            ","1,035 ratings","$113.99","5.5 pounds","17.32 x 10.03 x 7.87 inches","No","APOSEN"
"
                
                    
                    
                

                
                    
                    
                        Shark Navigator Upright Vacuum with Lift-Away, Zero-M Anti-Hair Wrap Technology, Anti-Allergen + HEPA Filter and Swivel Steering (ZU561), Red Peony
                    
                

                
                    
                    
                
            ","1,307 ratings","$239.99","17.36 pounds","12 x 9.5 x 45.6 inches","No","SharkNinja"
"
                
                    
                    
                

                
                    
                    
                        Shark Rocket Ultra-Light Corded Bagless Vacuum for Carpet and Hard Floor Cleaning with Swivel Steering and Car Detail Set (HV302), Gray/Orange
                    
                

                
                    
                    
                
            ","4,223 ratings","$179.99","13.9 pounds","10.5 x 9.8 x 46 inches","No","SharkNinja"
"
                
                    
                    
                

                
                    
                    
                        Shark Rotator Powered Lift-Away TruePet Upright Vacuum with HEPA Filter, Crevice Tool, Pet Multi-Tool and Power Brush with a Bordeaux Finish
                    
                

                
                    
                    
                
            ","4,175 ratings",NA,"15.4 pounds","13.2 x 11.9 x 45 inches","No","SharkNinja"
"
                
                    
                    
                

                
                    
                    
                        Dyson V11 Torque Drive Cordless Vacuum Cleaner, Blue
                    
                

                
                    
                    
                
            ","1,981 ratings","$671.97","6.68 pounds","50.63 x 9.84 x 10.28 inches","Yes","Dyson"
"
                
                    
                    
                

                
                    
                    
                        roborock S5 Robot Vacuum and Mop, Smart Navigating Robotic Vacuum Cleaner with 2000Pa Strong Suction, Wi-Fi & Alexa Connectivity for Pet Hair, Carpet & All Types of Floor
                    
                

                
                    
                    
                
            ","3,414 ratings","$479.99","7 pounds","13.8 x 13.7 x 3.8 inches","Yes","roborock"
"
                
                    
                    
                

                
                    
                    
                        Shark APEX Upright Vacuum with DuoClean for Carpet and HardFloor Cleaning, Zero-M Anti-Hair Wrap, & Powered Lift-Away with Hand Vacuum (AZ1002), Espresso
                    
                

                
                    
                    
                
            ","1,981 ratings","$419.99","24.8 pounds","11.2 x 12.2 x 46 inches","No","SharkNinja"
"
                
                    
                    
                

                
                    
                    
                        Shark Navigator Freestyle Upright Stick Cordless Bagless Vacuum for Carpet, Hard Floor and Pet with XL Dust Cup and 2-Speed Brushroll (SV1106), White/Grey
                    
                

                
                    
                    
                
            ","6,706 ratings","$129.99","7.5 pounds","10.5 x 9.6 x 46 inches","Yes","Shark"
"
                
                    
                    
                

                
                    
                    
                        Dyson Upright Vacuum Cleaner, Ball Animal 2, Iron/Purple
                    
                

                
                    
                    
                
            ","2,745 ratings",NA,"17.35 pounds","15.35 x 13.39 x 42.13 inches","No","Dyson"
"
                
                    
                    
                

                
                    
                    
                        Shark APEX DuoClean with Zero-M No Hair Wrap (ZS362) Stick Vacuum, Forest Mist Blue
                    
                

                
                    
                    
                
            ","854 ratings","$249.99","8 ounces","10.2 x 9.8 x 46.4 inches","No","SharkNinja"
"
                
                    
                    
                

                
                    
                    
                        APOSEN Cordless Vacuum Cleaner 18KPa Powerful Suction 250W Brushless Motor 4 in 1 Stick Handheld Vacuum for Home Hard Floor Carpet Car Pet H250 Blue
                    
                

                
                    
                    
                
            ","1,035 ratings","$113.99","5.5 pounds","17.32 x 10.03 x 7.87 inches","No","APOSEN"
"
                
                    
                    
                

                
                    
                    
                        Tineco A10 Hero Cordless Stick Vacuum Cleaner, Powerful Suction, Multi-Surface Cleaning, Great for Pet Hair, Space Blue
                    
                

                
                    
                    
                
            ","3,457 ratings","$149.99","5.03 pounds","12.5 x 8.3 x 43.3 inches","Yes","Tineco"
"
                
                    
                    
                

                
                    
                    
                        Roborock E4 Robot Vacuum Cleaner, Internal Route Plan with 2000Pa Strong Suction, 150min Runtime, Carpet Boost, APP Total Control, Ideal for Pets and Larger Home (Black)
                    
                

                
                    
                    
                
            ","111 ratings","$259.99","11.18 pounds","-1","Yes","roborock"
"
                
                    
                    
                

                
                    
                    
                        Miele Complete C2 Hard Floor Canister Vacuum Cleaner with SBD285-3 Combination Rug and Floor Tool + SBB400-3 Parquet TWI
                    
                

                
                    
                    
                
            ","322 ratings","$399.00","19.51 pounds","-1","No","Miele"
"
                
                    
                    
                

                
                    
                    
                        Dyson Ball Multi Floor Origin High Performance HEPA Filter Upright Vacuum Fuchsia - Corded
                    
                

                
                    
                    
                
            ","264 ratings",NA,"25.2 pounds","15.4 x 13.4 x 42.4 inches","-1","Dyson"
"
                
                    
                    
                

                
                    
                    
                        Bissell Zing Canister, 2156A Vacuum, Green Bagless
                    
                

                
                    
                    
                
            ","3,753 ratings","$59.99","10.23 pounds","14 x 11 x 12 inches","No","BISSELL Homecare, Inc."
"
                
                    
                    
                

                
                    
                    
                        Shark IQ Robot Vacuum with Self-Empty Base and Wi-Fi Home Mapping, with XL Capacity Dust Bin, in Black
                    
                

                
                    
                    
                
            ","2,764 ratings",NA,"13.2 pounds","12.9 x 12.6 x 3.5 inches","Yes","SharkNinja"
"
                
                    
                    
                

                
                    
                    
                        Robot Vacuum, GOOVI 1600PA Robotic Vacuum Cleaner with Self-Charging, 360° Smart Sensor Protectio, Multiple Cleaning Modes Vacuum Best for Pet Hairs, Hard Floor & Medium Carpet
                    
                

                
                    
                    
                
            ","4,780 ratings","$182.99","8.83 pounds","12.75 x 12.79 x 2.83 inches","Yes","GOOVI"
"
                
                    
                    
                

                
                    
                    
                        Hoover WindTunnel 2 Whole House Rewind Corded Bagless Upright Vacuum Cleaner with HEPA Media Filtration, UH71250, Blue
                    
                

                
                    
                    
                
            ","1,443 ratings",NA,"16.1 pounds","13 x 13.5 x 44.5 inches","No","Hoover"
"
                
                    
                    
                

                
                    
                    
                        Dyson Upright Vacuum Cleaner, Ball Multi Floor 2, Yellow
                    
                

                
                    
                    
                
            ","2,018 ratings","$379.90","15.6 pounds","15.59 x 13.39 x 41.93 inches","No","Dyson"
"
                
                    
                    
                

                
                    
                    
                        Dyson Cyclone V10 Motorhead Lightweight Cordless Stick Vacuum Cleaner
                    
                

                
                    
                    
                
            ","4,326 ratings",NA,"5.05 pounds","9.84 x 10.16 x 48.86 inches","No","Dyson"
"
                
                    
                    
                

                
                    
                    
                        Shark ZS351 Rocket Corded Ultra-Light Vacuum with Zero-M Anti-Hair Wrap Technology, XL Dust Cup, Hand Vacuum Mode, & Swivel Steering, Plum Purple
                    
                

                
                    
                    
                
            ","631 ratings","$209.99","13.92 pounds","13.4 x 10.2 x 47.2 inches","No","SharkNinja"
"
                
                    
                    
                

                
                    
                    
                        MOOSOO Vacuum Cleaner, 17KPa Suction Stick Vacuum 2 in 1 Handheld Vacuum for Hard Floor with HEPA Filters, D600
                    
                

                
                    
                    
                
            ","576 ratings","$44.99","2.8 pounds","50 x 8.7 x 9.8 inches","No","MOOSOO M"
"
                
                    
                    
                

                
                    
                    
                        Hoover Windtunnel Max Capacity Upright Vacuum Cleaner with HEPA Media Filtration, UH71100, Red
                    
                

                
                    
                    
                
            ","126 ratings","$98.00","16.1 pounds","13 x 13.5 x 44.5 inches","No","Hoover"
"
                
                    
                    
                

                
                    
                    
                        BISSELL Pet Hair Eraser Turbo Rewind Upright Vacuum Cleaner, 27909, Blue
                    
                

                
                    
                    
                
            ","49 ratings","$259.99","21.9 pounds","14 x 12.56 x 45.25 inches","No","Bissell"
"
                
                    
                    
                

                
                    
                    
                        BISSELL Cleanview Rewind Pet Deluxe Upright Vacuum Cleaner, 24899, Green
                    
                

                
                    
                    
                
            ","710 ratings","$149.99","19.01 pounds","13 x 14 x 46 inches","No","BISSELL"
NA,NA,NA,"-1","-1","-1","-1"
"
                
                    
                    
                

                
                    
                    
                        ProTeam ProForce 1500XP Bagged Upright Vacuum Cleaner with HEPA Media Filtration, Commercial Upright Vacuum with On-Board Tools, Corded
                    
                

                
                    
                    
                
            ","162 ratings","$368.39","26.7 pounds","48 x 15 x 7.9 inches","No","ProTeam"
"
                
                    
                    
                

                
                    
                    
                        Cordless Vacuum, Hikeren Stick Vacuum Cleaner, Powerful Lightweight 2 in 1 Handheld Vacuum with Rechargeable Lithium Ion Battery for Hardwood Floor Carpet Pet Hair, Black
                    
                

                
                    
                    
                
            ","374 ratings","$94.99","2.91 pounds","43.3 x 9.8 x 6.7 inches","Yes","Hikeren"
"
                
                    
                    
                

                
                    
                    
                        BLACK+DECKER POWERSERIES Extreme Cordless Stick Vacuum, Blue (BSV2020G)
                    
                

                
                    
                    
                
            ","162 ratings","$184.19","10.68 pounds","-1","Yes","BLACK+DECKER"
"
                
                    
                    
                

                
                    
                    
                        BISSELL Aeroswift Compact Vacuum Cleaner, 26129, 24619, Teal
                    
                

                
                    
                    
                
            ","44 ratings","$77.05","12 pounds","11 x 12 x 43 inches","No","Bissell"
"
                
                    
                    
                

                
                    
                    
                        ILIFE V3s Pro Robot Vacuum Cleaner,  Tangle-free Suction , Slim, Automatic Self-Charging Robotic Vacuum Cleaner, Daily Schedule Cleaning, Ideal For Pet Hair，Hard Floor and Low Pile Carpet
                    
                

                
                    
                    
                
            ","4,548 ratings","$159.99","4.5 pounds","11.8 x 11.8 x 3 inches","Yes","ILIFE INNOVATION LIMITED"
"
                
                    
                    
                

                
                    
                    
                        BISSELL Pet Hair Eraser Turbo Plus Lightweight Upright Vacuum Cleaner, 24613
                    
                

                
                    
                    
                
            ","394 ratings","$229.99","19.31 pounds","13 x 15.75 x 44.5 inches","No","Bissell"
"
                
                    
                    
                

                
                    
                    
                        Dyson Upright Vacuum Cleaner, Ball Animal 2, Iron/Purple
                    
                

                
                    
                    
                
            ","2,745 ratings",NA,"17.35 pounds","15.35 x 13.39 x 42.13 inches","No","Dyson"
"
                
                    
                    
                

                
                    
                    
                        ORFELD Cordless Vacuum, Stick Vacuum Cleaner 4 in 1, Upgrade Version with 17000 Pa Powerful Suction, Lightweight & Ultra-Quiet Handheld Vacuum for Car Pet Hair Carpet Hard Floor
                    
                

                
                    
                    
                
            ","468 ratings","$119.97","5.5 pounds","22.83 x 10.24 x 5.71 inches","Yes","Orfeld"
"
                
                    
                    
                

                
                    
                    
                        GeeMo Cordless Vacuum Cleaner 21Kpa Super-Suction 35 mins-Running 1.2L Super-Capacity 4 in 1 Vacuum Cleaner for Deep Clean Pet Hair Carpet Hard Floor G201
                    
                

                
                    
                    
                
            ","89 ratings","$139.99","2.6 pounds","28.74 x 11.02 x 5.12 inches","Yes","GeeMo"
"
                
                    
                    
                

                
                    
                    
                        eufy Anker, BoostIQ RoboVac 11S (Slim), Super-Thin 1300Pa Strong Suction, Quiet, Self-Charging Robotic Vacuum Cleaner, Cleans Hard Floors to Medium-Pile Carpets, Black
                    
                

                
                    
                    
                
            ","16,466 ratings",NA,"5.73 pounds","12.8 x 12.8 x 2.85 inches","Yes","eufy"
"
                
                    
                    
                

                
                    
                    
                        Shark Rocket Ultra-Light Corded Bagless Vacuum for Carpet and Hard Floor Cleaning with Swivel Steering (HV301), Gray/Orange
                    
                

                
                    
                    
                
            ","1,450 ratings","$169.99","7.6 pounds","10.5 x 9.8 x 46 inches","No","SharkNinja"
"
                
                    
                    
                

                
                    
                    
                        Robot Vacuum, GOOVI 1600PA Robotic Vacuum Cleaner with Self-Charging, 360° Smart Sensor Protectio, Multiple Cleaning Modes Vacuum Best for Pet Hairs, Hard Floor & Medium Carpet
                    
                

                
                    
                    
                
            ","4,780 ratings","$182.99","8.83 pounds","12.75 x 12.79 x 2.83 inches","Yes","GOOVI"
NA,NA,NA,"-1","-1","-1","-1"
"
                
                    
                    
                

                
                    
                    
                        Miele Classic C1 Turbo Team Canister Vacuum Cleaner
                    
                

                
                    
                    
                
            ","215 ratings","$399.00","17.41 pounds","18.2 x 11 x 8.7 inches","No","Miele"
NA,NA,NA,"-1","-1","-1","-1"
"
                
                    
                    
                

                
                    
                    
                        Dyson V8 Animal Cordless Stick Vacuum Cleaner, Iron
                    
                

                
                    
                    
                
            ","3,329 ratings",NA,"5.64 pounds","8.2 x 9.8 x 49 inches","No","Dyson"
"
                
                    
                    
                

                
                    
                    
                        APOSEN Cordless Vacuum Cleaner 18000Pa Strong Suction Detachable Battery, 250W Powerful Brushless Motor, 1.2L Super-Capacity 4 in 1 Stick Handheld Vacuum Cleaner for Deep Cleaning H250 （Red）
                    
                

                
                    
                    
                
            ","73 ratings","$139.99","5.5 pounds","17.4 x 10.3 x 8 inches","No","APOSEN"
"
                
                    
                    
                

                
                    
                    
                        Homasy 8Kpa Portable Handheld Vacuum, Hand Vacuum Cordless with Powerful Cyclonic Suction, Rechargeable 14.8V Li-ion with Quick Charge Tech, Wet Dry Vac Cleaner for Car Pet Hair Dust Gravel Cleaning
                    
                

                
                    
                    
                
            ","3,183 ratings","$54.99","3.26 pounds","6.1 x 7.48 x 17.13 inches","No","Homasy"
"
                
                    
                    
                

                
                    
                    
                        Hoover CH30000 PortaPower Lightweight Commercial Canister Vacuum
                    
                

                
                    
                    
                
            ","1,398 ratings","$130.92","-1","-1","-1","-1"
NA,NA,NA,"-1","-1","-1","-1"
NA,NA,NA,"-1","-1","-1","-1"
"
                
                    
                    
                

                
                    
                    
                        MOOSOO Cordless Vacuum Cleaner 17Kpa Strong Suction 2 in 1 Stick Vacuum Ultra-Quiet Handheld Vacuum with Brushless Motor Multi-attachments
                    
                

                
                    
                    
                
            ","2,006 ratings","$149.99","2.84 pounds","49.2 x 10.8 x 9.4 inches","Yes","MOOSOO M"
"
                
                    
                    
                

                
                    
                    
                        Eureka Flash Lightweight Stick Vacuum Cleaner,15KPa Powerful Suction, 2 in 1 Corded Handheld Vac for Hard Floor and Carpet, Black, NES510
                    
                

                
                    
                    
                
            ","23 ratings","$139.24","6.3 pounds","11.1 x 7.9 x 45 inches","No","Eureka"
"
                
                    
                    
                

                
                    
                    
                        Eureka RapidClean Pro Lightweight Cordless Vacuum Cleaner, High Efficiency Powerful Digital Motor LED Headlights, Convenient Stick and Handheld Vac, Essential, Blue
                    
                

                
                    
                    
                
            ","341 ratings","$139.99","5.26 pounds","9.8 x 6.3 x 43.3 inches","No","Eureka"
