"","Name","Opinions","Price","Weight","Dimensions","Batteries Required","Manufacturer"
"https://www.amazon.com/BISSELL-Cleanview-Upright-Bagless-2252/dp/B07F6N3RT6/ref=sr_1_2?dchild=1&keywords=vacuums&qid=1590865423&sr=8-2","
                
                    
                    
                

                
                    
                    
                        BISSELL Cleanview Swivel Pet Upright Bagless Vacuum Cleaner, Green, 2252
                    
                

                
                    
                    
                
            ","6,009 ratings","$99.66","17.86 pounds","13 x 14 x 44.5 inches","No","BISSELL"
"https://www.amazon.com/BISSELL-Cleanview-Bagless-Cleaner-2486/dp/B07L69RL4B/ref=sr_1_3?dchild=1&keywords=vacuums&qid=1590865423&sr=8-3","
                
                    
                    
                

                
                    
                    
                        BISSELL Cleanview Bagless Vacuum Cleaner, 2486, Orange
                    
                

                
                    
                    
                
            ","1,935 ratings","$79.99","17.16 pounds","13 x 14 x 44.5 inches","No","BISSELL"
"https://www.amazon.com/BISSELL-Cleanview-Upright-Bagless-Cleaner/dp/B07F6MXJ9X/ref=sr_1_4?dchild=1&keywords=vacuums&qid=1590865423&sr=8-4","
                
                    
                    
                

                
                    
                    
                        BISSELL Cleanview Swivel Rewind Pet Upright Bagless Vacuum Cleaner, Teal
                    
                

                
                    
                    
                
            ","2,435 ratings","$139.99","19.21 pounds","13 x 14 x 46 inches","No","Bissell"
"https://www.amazon.com/Shark-Navigator-Professional-Anti-Allergy-NV360/dp/B00JH98GR4/ref=sr_1_5?dchild=1&keywords=vacuums&qid=1590865423&sr=8-5","
                
                    
                    
                

                
                    
                    
                        Shark Navigator Lift-Away Deluxe NV360 Upright Vacuum, Blue
                    
                

                
                    
                    
                
            ","4,468 ratings",NA,"12.5 pounds","14.96 x 11.4 x 45.5 inches","No","SharkNinja"
"https://www.amazon.com/MOOSOO-Cordless-Powerful-Suction-Handheld/dp/B07QY81KQW/ref=sr_1_6?dchild=1&keywords=vacuums&qid=1590865423&sr=8-6","
                
                    
                    
                

                
                    
                    
                        MOOSOO Cordless Vacuum 4 in 1 Powerful Suction Stick Handheld Vacuum Cleaner for Home Hard Floor Carpet Car Pet - XL-618A, Lightweight
                    
                

                
                    
                    
                
            ","5,184 ratings","$109.99","3.3 pounds","44.1 x 9 x 10.2 inches","Yes","MOOSOO M"
"https://www.amazon.com/Shark-Lift-Away-NV752-Mini-Motorized-Bordeaux/dp/B00X7R1FZ2/ref=sr_1_7?dchild=1&keywords=vacuums&qid=1590865423&sr=8-7","
                
                    
                    
                

                
                    
                    
                        Shark Rotator Powered Lift-Away TruePet Upright Vacuum with HEPA Filter, Crevice Tool, Pet Multi-Tool and Power Brush with a Bordeaux Finish
                    
                

                
                    
                    
                
            ","4,175 ratings",NA,"15.4 pounds","13.2 x 11.9 x 45 inches","No","SharkNinja"
"https://www.amazon.com/NEU100-Airspeed-Ultra-Lightweight-Compact-Bagless/dp/B07MKGNK5W/ref=sr_1_8?dchild=1&keywords=vacuums&qid=1590865423&sr=8-8","
                
                    
                    
                

                
                    
                    
                        Eureka NEU100 Airspeed Ultra-Lightweight Compact Bagless Upright Vacuum Cleaner, Lime Green
                    
                

                
                    
                    
                
            ","1,937 ratings","$84.92","7.7 pounds","11.42 x 11.93 x 41.34 inches","No","Eureka"
"https://www.amazon.com/Shark-Navigator-Self-Cleaning-Brushroll-ZU62/dp/B07NFRP2RK/ref=sr_1_9?dchild=1&keywords=vacuums&qid=1590865423&sr=8-9","
                
                    
                    
                

                
                    
                    
                        Shark Navigator Zero-M Self-Cleaning Brushroll Pet Pro (ZU62) Upright Vacuum, Pewter Grey Metallic
                    
                

                
                    
                    
                
            ","1,011 ratings","$229.94","19.46 pounds","9.84 x 11.97 x 45.28 inches","No","SharkNinja"
"https://www.amazon.com/Bissell-Canister-2156A-Bagless-Vacuum/dp/B075PL2GDD/ref=sr_1_12?dchild=1&keywords=vacuums&qid=1590865423&sr=8-12","
                
                    
                    
                

                
                    
                    
                        Bissell Zing Canister, 2156A Vacuum, Green Bagless
                    
                

                
                    
                    
                
            ","3,753 ratings","$59.99","10.23 pounds","14 x 11 x 12 inches","No","BISSELL Homecare, Inc."
"https://www.amazon.com/Shark-Professional-Lift-Away-Anti-Allergy-NV501/dp/B0091JG0LY/ref=sr_1_13?dchild=1&keywords=vacuums&qid=1590865423&sr=8-13","
                
                    
                    
                

                
                    
                    
                        Shark Rotator Professional Upright Corded Bagless Vacuum for Carpet and Hard Floor with Lift-Away Hand Vacuum and Anti-Allergy Seal (NV501), White with Red Chrome
                    
                

                
                    
                    
                
            ","6,338 ratings",NA,"15.5 pounds","45.7 x 12.1 x 12.2 inches","No","SharkNinja"
